Player,From,To,Pos,Ht,Wt,Birth Date,College,Active,Hall Of Fame
Chris Webber,1994,2008,F-C,6-9,245,"March 1, 1973",University of Michigan,False,False
Briante Weber,2016,2016,PG,6-2,165,"December 29, 1992",Virginia Commonwealth University,True,False
Jake Weber,1947,1947,C,6-6,225,"March 18, 1918",Purdue University,False,False
Elnardo Webster,1972,1972,F,6-5,190,"March 6, 1948",Saint Peter's College,False,False
Jeff Webster,1996,1996,F,6-8,232,"February 19, 1971",University of Oklahoma,False,False
Martell Webster,2006,2015,G-F,6-7,230,"December 4, 1986",,True,False
Marvin Webster,1976,1987,C,7-1,225,"April 13, 1952",Morgan State University,False,False
Scott Wedman,1975,1987,F-G,6-7,215,"July 29, 1952",University of Colorado,False,False
Sonny Weems,2009,2016,G-F,6-6,205,"July 8, 1986",University of Arkansas,True,False
Dick Wehr,1949,1949,F,6-4,180,"December 9, 1925",Rice University,False,False
Brant Weidner,1984,1984,F,6-9,230,"October 28, 1960",College of William & Mary,False,False
Bob Weiss,1966,1977,G,6-2,180,"May 7, 1942",Pennsylvania State University,False,False
Rick Weitzman,1968,1968,G,6-2,175,"April 30, 1946",Northeastern University,False,False
Bonzi Wells,1999,2008,G-F,6-5,210,"September 28, 1976",Ball State University,False,False
Bubba Wells,1998,1998,F,6-5,230,"July 26, 1974",Austin Peay State University,False,False
Owen Wells,1975,1975,F,6-7,200,"December 9, 1950",University of Detroit Mercy,False,False
Ralph Wells,1963,1963,G,6-1,180,"September 3, 1940",Northwestern University,False,False
Chris Welp,1988,1990,C,7-0,245,"January 2, 1964",University of Washington,False,False
Jiri Welsch,2003,2006,G,6-7,208,"January 27, 1980",,False,False
Bill Wennington,1986,2000,C,7-0,245,"April 26, 1963",St. John's University,False,False
Matt Wenstrom,1994,1994,C,7-1,250,"November 4, 1970",University of North Carolina,False,False
Robert Werdann,1993,1997,C,6-11,250,"September 12, 1970",St. John's University,False,False
Ray Wertis,1947,1948,G,5-11,,"January 1, 1922",St. John's University,False,False
David Wesley,1994,2007,G,6-0,190,"November 14, 1970",Baylor University,False,False
Walt Wesley,1967,1976,C,6-11,220,"January 25, 1945",University of Kansas,False,False
David West,2004,2016,F,6-9,250,"August 29, 1980",Xavier University,True,False
Delonte West,2005,2012,G,6-4,180,"July 26, 1983",Saint Joseph's University,False,False
Doug West,1990,2001,G-F,6-6,200,"May 27, 1967",Villanova University,False,False
Jerry West,1961,1974,G,6-2,175,"May 28, 1938",West Virginia University,False,True
Mario West,2008,2011,G,6-5,210,"June 19, 1984",Georgia Institute of Technology,False,False
Mark West,1984,2000,C-F,6-10,230,"November 5, 1960",Old Dominion University,False,False
Roland West,1968,1968,G,6-4,178,"June 6, 1944",University of Cincinnati,False,False
Dexter Westbrook,1968,1968,F,6-8,190,,Providence College,False,False
Russell Westbrook,2009,2016,G,6-3,200,"November 12, 1988","University of California, Los Angeles",True,False
Paul Westphal,1973,1984,G,6-4,195,"November 30, 1950",University of Southern California,False,False
John Wetzel,1968,1976,G-F,6-5,190,"October 22, 1944",Virginia Polytechnic Institute and State University,False,False
Robert Whaley,2006,2006,C,6-10,260,"April 16, 1982",Walsh University,False,False
Ennis Whatley,1984,1997,G,6-3,177,"August 11, 1962",University of Alabama,False,False
DeJuan Wheat,1998,1999,G,6-0,165,"October 14, 1973",University of Louisville,False,False
Clinton Wheeler,1988,1989,G,6-1,185,"October 27, 1959",William Paterson University,False,False
Tyson Wheeler,1999,1999,G,5-10,165,"October 8, 1975",University of Rhode Island,False,False
Skippy Whitaker,1955,1955,G,6-1,180,"August 29, 1930",University of Kentucky,False,False
D.J. White,2009,2014,F,6-9,251,"August 31, 1986",Indiana University,True,False
Eric White,1988,1989,F,6-8,200,"December 30, 1965",Pepperdine University,False,False
Herb White,1971,1971,G,6-2,195,"June 15, 1948",University of Georgia,False,False
Hubie White,1963,1971,G-F,6-4,205,"January 26, 1940",Villanova University,False,False
Jahidi White,1999,2005,F-C,6-9,290,"February 19, 1976",Georgetown University,False,False
James White,2007,2013,G-F,6-7,200,"October 21, 1982",University of Cincinnati,False,False
Jo Jo White,1970,1981,G,6-3,190,"November 16, 1946",University of Kansas,False,True
Randy White,1990,1994,F,6-8,240,"November 4, 1967",Louisiana Tech University,False,False
Rodney White,2002,2005,F,6-9,238,"June 28, 1980",University of North Carolina at Charlotte,False,False
Rory White,1983,1987,F,6-8,210,"August 16, 1959",University of South Alabama,False,False
Royce White,2014,2014,F,6-8,270,"April 10, 1991",Iowa State University,True,False
Rudy White,1976,1981,G,6-2,195,"June 23, 1953",Arizona State University,False,False
Tony White,1988,1988,G,6-2,170,"February 15, 1965",University of Tennessee,False,False
Willie White,1985,1986,G,6-3,195,"August 20, 1962",University of Tennessee at Chattanooga,False,False
Jerome Whitehead,1979,1989,C-F,6-10,220,"September 30, 1956",Marquette University,False,False
Donald Whiteside,1997,1998,G,5-10,160,"April 25, 1969",Northern Illinois University,False,False
Hassan Whiteside,2011,2016,C,7-0,265,"June 13, 1989",Marshall University,True,False
Dwayne Whitfield,1996,1996,F,6-9,240,"August 21, 1972",Jackson State University,False,False
Chris Whitney,1994,2004,G,6-0,168,"October 5, 1971",Clemson University,False,False
Hank Whitney,1968,1970,F-C,6-7,230,"April 28, 1939",Iowa State University,False,False
Hawkeye Whitney,1981,1982,G-F,6-5,235,"June 22, 1957",North Carolina State University,False,False
Shayne Whittington,2015,2016,F-C,6-11,250,"March 27, 1991",Western Michigan University,True,False
Sidney Wicks,1972,1981,F-C,6-8,225,"September 19, 1949","University of California, Los Angeles",False,False
Ron Widby,1968,1968,F,6-4,210,"March 9, 1945",University of Tennessee,False,False
Murray Wier,1950,1950,G,5-9,155,"December 12, 1926",University of Iowa,False,False
Bob Wiesenhahn,1962,1962,F,6-4,215,"December 22, 1938",University of Cincinnati,False,False
Andrew Wiggins,2015,2016,F-G,6-8,199,"February 23, 1995",University of Kansas,True,False
Mitchell Wiggins,1984,1992,G,6-4,185,"September 28, 1959",Florida State University,False,False
Ken Wilburn,1968,1969,F,6-6,195,"June 8, 1944",Central State University,False,False
C.J. Wilcox,2015,2016,G,6-5,195,"December 30, 1990",University of Washington,True,False
Chris Wilcox,2003,2013,F,6-10,221,"September 3, 1982",University of Maryland,False,False
D.C. Wilcutt,1949,1950,G,6-2,165,"March 25, 1923",Saint Louis University,False,False
Gene Wiley,1963,1968,C,6-10,210,"November 12, 1937",Wichita State University,False,False
Michael Wiley,1981,1982,F,6-9,200,"October 16, 1957","California State University, Long Beach",False,False
Morlon Wiley,1989,1995,G,6-4,185,"September 24, 1966","California State University, Long Beach",False,False
Win Wilfong,1958,1961,G-F,6-2,185,"March 18, 1933",University of Memphis,False,False
Lenny Wilkens,1961,1975,G,6-1,180,"October 28, 1937",Providence College,False,True
Bob Wilkerson,1977,1983,G-F,6-6,195,"August 15, 1954",Indiana University,False,False
Jamaal Wilkes,1975,1986,F-G,6-6,190,"May 2, 1953","University of California, Los Angeles",False,True
James Wilkes,1981,1983,F,6-7,195,"April 1, 1958","University of California, Los Angeles",False,False
Damien Wilkins,2005,2013,F-G,6-6,225,"January 11, 1980",University of Georgia,True,False
Dominique Wilkins,1983,1999,F-G,6-7,200,"January 12, 1960",University of Georgia,False,True
Eddie Lee Wilkins,1985,1993,F-C,6-10,220,"May 7, 1962",Gardner-Webb University,False,False
Gerald Wilkins,1986,1999,G-F,6-6,185,"September 11, 1963",University of Tennessee at Chattanooga,False,False
Jeff Wilkins,1981,1986,C-F,6-11,230,"March 9, 1955",Illinois State University,False,False
Dale Wilkinson,1985,1985,F,6-10,220,"March 18, 1960",Idaho State University,False,False
Mike Wilks,2003,2010,G,5-10,185,"May 7, 1979",Rice University,False,False
Aaron Williams,1994,2008,F-C,6-9,220,"October 2, 1971",Xavier University,False,False
Al Williams,1971,1971,F,6-6,200,"February 3, 1948",Drake University,False,False
Alan Williams,2016,2016,F-C,6-8,260,"January 28, 1993","University of California, Santa Barbara",True,False
Alvin Williams,1998,2007,G,6-5,185,"August 6, 1974",Villanova University,False,False
Art Williams,1968,1975,G,6-1,180,"September 29, 1939","California State Polytechnic University, Pomona",False,False
Bernie Williams,1970,1974,G,6-3,175,"December 30, 1945",La Salle University,False,False
Bob Williams,1956,1957,F,6-6,230,"May 12, 1931",Florida Agricultural and Mechanical University,False,False
Brandon Williams,1998,2003,G,6-6,215,"February 27, 1975",Davidson College,False,False
Buck Williams,1982,1998,F-C,6-8,215,"March 8, 1960",University of Maryland,False,False
Charles Williams,1968,1973,G,6-0,165,"September 5, 1943",Seattle University,False,False
Chuck Williams,1971,1978,G,6-2,175,"June 6, 1946",University of Colorado,False,False
Chuckie Williams,1977,1977,G,6-3,180,"December 31, 1953",Kansas State University,False,False
Cliff Williams,1969,1969,G,6-3,180,"April 15, 1945",Bowling Green State University,False,False
Corey Williams,1993,1994,G,6-2,190,"April 24, 1970",Oklahoma State University,False,False
Deron Williams,2006,2016,G,6-3,200,"June 26, 1984",University of Illinois at Urbana-Champaign,True,False
Derrick Williams,2012,2016,F,6-8,240,"May 25, 1991",University of Arizona,True,False
Duck Williams,1980,1980,G,6-2,180,"August 2, 1956",University of Notre Dame,False,False
Earl Williams,1975,1979,C-F,6-7,230,"March 24, 1951",Winston-Salem State University,False,False
Elliot Williams,2012,2016,G,6-5,190,"June 20, 1989",University of Memphis,True,False
Eric Williams,1996,2007,F,6-8,220,"July 17, 1972",Providence College,False,False
Fly Williams,1975,1975,G-F,6-5,200,"February 18, 1953",Austin Peay State University,False,False
Frank Williams,2003,2005,G,6-3,212,"February 25, 1980",University of Illinois at Urbana-Champaign,False,False
Freeman Williams,1979,1986,G-F,6-4,190,"May 15, 1956",Portland State University,False,False
Gene Williams,1970,1970,F,6-7,235,"April 1, 1947",Kansas State University,False,False
Gus Williams,1976,1987,G,6-2,175,"October 10, 1953",University of Southern California,False,False
Guy Williams,1985,1986,F,6-9,200,"July 1, 1960",Washington State University,False,False
Hank Williams,1975,1975,F,6-5,210,"April 28, 1952",Jacksonville University,False,False
Herb Williams,1982,1999,C-F,6-10,242,"February 16, 1958",Ohio State University,False,False
Hot Rod Williams,1987,1999,F-C,6-11,215,"August 9, 1962",Tulane University,False,False
Jason Williams,1999,2011,G,6-1,190,"November 18, 1975",University of Florida,False,False
Jawad Williams,2009,2011,F,6-9,218,"February 19, 1983",University of North Carolina,False,False
Jay Williams,2003,2003,G,6-2,195,"September 10, 1981",Duke University,False,False
Jayson Williams,1991,1999,F-C,6-9,240,"February 22, 1968",St. John's University,False,False
Jerome Williams,1997,2005,F,6-9,206,"May 10, 1973",Georgetown University,False,False
John Williams,1987,1995,F-C,6-8,235,"October 26, 1966",Louisiana State University,False,False
Jordan Williams,2012,2012,F,6-10,260,"October 11, 1990",University of Maryland,False,False
Justin Williams,2007,2008,F,6-10,225,"May 12, 1984",University of Wyoming,False,False
Kenny Williams,1991,1994,F,6-9,205,"June 9, 1969",Elizabeth City State University,False,False
Kevin Williams,1984,1989,G,6-2,175,"September 11, 1961",St. John's University,False,False
Lorenzo Williams,1993,2000,F-C,6-9,200,"July 15, 1969",Stetson University,False,False
Lou Williams,2006,2016,G,6-1,175,"October 27, 1986",,True,False
Marcus Williams,2007,2010,G,6-3,205,"December 3, 1985",University of Connecticut,True,False
Marcus Williams,2008,2009,F,6-7,205,"November 18, 1986",University of Arizona,True,False
Marvin Williams,2006,2016,F,6-9,237,"June 19, 1986",University of North Carolina,True,False
Micheal Williams,1989,1999,G,6-2,175,"July 23, 1966",Baylor University,False,False
Mike Williams,1990,1990,F,6-8,255,"August 14, 1963",Bradley University,False,False
Milt Williams,1971,1975,G,6-2,182,"November 22, 1945",Lincoln University of Missouri,False,False
Mo Williams,2004,2016,G,6-1,198,"December 19, 1982",University of Alabama,True,False
Monty Williams,1995,2003,F,6-8,225,"October 8, 1971",University of Notre Dame,False,False
Nate Williams,1972,1979,F-G,6-5,215,"May 2, 1950",Utah State University,False,False
Pete Williams,1986,1987,F,6-7,190,"March 10, 1965",University of Arizona,False,False
Ray Williams,1978,1987,G,6-3,188,"October 14, 1954",University of Minnesota,False,False
Reggie Williams,1988,1997,F-G,6-7,190,"March 5, 1964",Georgetown University,True,False
Reggie Williams,2010,2015,F,6-6,205,"September 14, 1986",Virginia Military Institute,True,False
Rickey Williams,1983,1983,G,6-1,175,"March 12, 1957","California State University, Long Beach",False,False
Rob Williams,1983,1984,G,6-2,175,"May 5, 1961",University of Houston,False,False
Ron Williams,1969,1976,G,6-3,188,"September 24, 1944",West Virginia University,False,False
Sam Williams,1969,1970,G,6-3,180,"January 22, 1945",University of Iowa,False,False
Sam Williams,1982,1985,F,6-8,210,"March 7, 1959",Arizona State University,False,False
Scott Williams,1991,2005,F-C,6-10,230,"March 21, 1968",University of North Carolina,False,False
Sean Williams,2008,2012,F,6-10,235,"September 13, 1986",Boston College,False,False
Shammond Williams,1999,2007,G,6-1,201,"April 5, 1975",University of North Carolina,False,False
Shawne Williams,2007,2015,F,6-9,225,"February 16, 1986",University of Memphis,True,False
Shelden Williams,2007,2012,F,6-9,250,"October 21, 1983",Duke University,False,False
Sly Williams,1980,1986,F-G,6-7,210,"January 26, 1958",University of Rhode Island,False,False
Terrence Williams,2010,2013,F,6-6,220,"June 28, 1987",University of Louisville,False,False
Travis Williams,1998,1999,F,6-6,215,"May 27, 1969",South Carolina State University,False,False
Walt Williams,1993,2003,F-G,6-8,219,"April 16, 1970",University of Maryland,False,False
Ward Williams,1949,1949,F,6-4,195,"June 26, 1923",Indiana University,False,False
Willie Williams,1971,1971,F,6-7,200,"July 28, 1946",Florida State University,False,False
Corliss Williamson,1996,2007,F,6-7,245,"December 4, 1973",University of Arkansas,False,False
John Williamson,1974,1981,G,6-2,185,"November 10, 1951",New Mexico State University,False,False
Vann Williford,1971,1971,F,6-6,195,"January 26, 1948",North Carolina State University,False,False
Kevin Willis,1985,2007,F-C,7-0,220,"September 6, 1962",Michigan State University,False,False
Bill Willoughby,1976,1984,F-C,6-8,205,"May 20, 1957",,False,False
Dedric Willoughby,2000,2000,G-F,6-3,180,"May 27, 1974",Iowa State University,False,False
Bob Wilson,1952,1952,G,6-4,185,"March 8, 1926",West Virginia State University,False,False
Bobby Wilson,1968,1968,F,6-8,215,,University of Kansas,False,False
Bobby Wilson,1975,1978,G,6-3,175,"January 15, 1951",Wichita State University,False,False
Bubba Wilson,1980,1980,G,6-3,175,"August 7, 1955",Western Carolina University,False,False
George Wilson,1965,1971,C,6-8,225,"May 9, 1942",University of Cincinnati,False,False
Isaiah Wilson,1972,1973,G,6-2,175,"May 31, 1948",University of Baltimore,False,False
Jasper Wilson,1969,1970,F,6-6,200,"July 12, 1947",Southern University and A&M College,False,False
Jim Wilson,1971,1971,G,5-10,175,,Cheyney University of Pennsylvania,False,False
Michael Wilson,1984,1987,G,6-4,175,"September 15, 1959",Marquette University,False,False
Nikita Wilson,1988,1988,F,6-8,200,"February 25, 1964",Louisiana State University,False,False
Othell Wilson,1985,1987,G,6-0,190,"October 26, 1961",University of Virginia,False,False
Rick Wilson,1979,1980,G,6-5,200,"February 7, 1956",University of Louisville,False,False
Ricky Wilson,1988,1988,G,6-3,195,"July 16, 1964",George Mason University,False,False
Stephen Wilson,1971,1972,G,6-5,185,"October 16, 1948",Hanover College,False,False
Trevor Wilson,1991,1996,F,6-7,210,"March 16, 1968","University of California, Los Angeles",False,False
Kennard Winchester,1991,1993,G-F,6-5,210,"September 3, 1966",Averett University,False,False
Tony Windis,1960,1960,G,6-1,160,"January 27, 1933",University of Wyoming,False,False
John Windsor,1964,1964,F,6-8,215,"April 3, 1940",Stanford University,False,False
Lee Winfield,1970,1976,G,6-2,174,"February 4, 1947",University of North Texas,False,False
David Wingate,1987,2001,G-F,6-5,185,"December 15, 1963",Georgetown University,False,False
Dontonio Wingfield,1995,1998,F,6-8,256,"June 23, 1974",University of Cincinnati,False,False
Harthorne Wingo,1973,1976,F,6-6,210,"September 9, 1947",Friendship Junior College,False,False
Marv Winkler,1971,1972,G,6-1,164,"February 18, 1948",University of Louisiana at Lafayette,False,False
Justise Winslow,2016,2016,F,6-7,225,"March 26, 1996",Duke University,True,False
Rickie Winslow,1988,1988,F,6-8,225,"July 26, 1964",University of Houston,False,False
